,Day,Measure,Value
2,Mon,$,315229000000
10,Tue,$,246351000000
12,Wed,$,250785000000
8,Thu,$,255113000000
0,Fri,$,277258000000
4,Sat,$,222584000000
6,Sun,$,261028000000
